,u,v,key,osmid,oneway,length,geometry,name,highway,maxspeed,lanes,tunnel,service,landuse,width,access,bridge,area,ref,junction
1722,5278671115,5680984242,0,546216231,False,7.329,"LINESTRING (103.8944164 1.3959566, 103.8944385 1.3960187)",,footway,,,,,,,,,,,
1723,5278671116,3063328291,0,546216227,False,8.096,"LINESTRING (103.8945104 1.3962204, 103.8944983 1.3962922)",,footway,,,,,,,,,,,
1724,5278671116,5680984240,0,546216228,False,8.889,"LINESTRING (103.8945104 1.3962204, 103.8945853 1.3961924)",,footway,,,,,,,,,,,
1725,5278671116,5680984241,0,546216231,False,7.91,"LINESTRING (103.8945104 1.3962204, 103.8944865 1.3961534)",,footway,,,,,,,,,,,
1726,5278671118,5278670996,0,546216188,False,12.281,"LINESTRING (103.8937385 1.3931737, 103.8937926 1.3930774)",,footway,,,,,,,,,,,
1727,5278671118,5278670993,0,546216232,False,7.161,"LINESTRING (103.8937385 1.3931737, 103.8936775 1.3931944)",,footway,,,,,,,,,,,
1728,5278671118,5278670992,0,546216233,False,9.441,"LINESTRING (103.8937385 1.3931737, 103.8937658 1.3932541)",,footway,,,,,,,,,,,
1729,5278671119,4430972590,0,546216189,False,11.466,"LINESTRING (103.893824 1.3934259, 103.8939133 1.3934775)",,footway,,,,,,,,,,,
1730,5278671119,5278670991,0,546216233,False,7.279,"LINESTRING (103.893824 1.3934259, 103.893803 1.3933639)",,footway,,,,,,,,,,,
1731,5278671119,5278670990,0,546216234,False,7.157,"LINESTRING (103.893824 1.3934259, 103.893763 1.3934465)",,footway,,,,,,,,,,,
1732,5015085328,4147067921,0,197540844,True,211.793,"LINESTRING (103.8885123 1.3877951, 103.8893436 1.3872952, 103.8897878 1.3870305, 103.8901865 1.3869049)",Sengkang East Avenue,secondary,50,2,,,,,,,,,
1733,5278671120,5278670988,0,541818516,False,7.409,"LINESTRING (103.8935642 1.3935139, 103.8935428 1.3934508)",,footway,,,,,,,,,,,
1734,5278671120,5278670995,0,546216190,False,8.993,"LINESTRING (103.8935642 1.3935139, 103.8935242 1.3935842)",,footway,,,,,,,,,,,
1735,5278671120,5278670989,0,546216234,False,9.26,"LINESTRING (103.8935642 1.3935139, 103.8936431 1.3934872)",,footway,,,,,,,,,,,
1736,5278671121,5278670987,0,541818516,False,9.121,"LINESTRING (103.8934787 1.3932617, 103.893505 1.3933394)",,footway,,,,,,,,,,,
1737,5278671121,4430972285,0,546216187,False,9.67,"LINESTRING (103.8934787 1.3932617, 103.8933947 1.3932391)",,footway,,,,,,,,,,,
1738,5278671121,5278670994,0,546216232,False,9.189,"LINESTRING (103.8934787 1.3932617, 103.893557 1.3932352)",,footway,,,,,,,,,,,
1739,5278671125,4598826802,0,546216202,False,9.398,"LINESTRING (103.8905966 1.3940762, 103.8906378 1.3940024)",,footway,,,,,,,,,,,
1740,5278671125,5278671069,0,546216206,False,2.303,"LINESTRING (103.8905966 1.3940762, 103.890576 1.3940784)",,footway,,,,,,,,,,,
1741,5278671125,5278671070,0,546216236,False,8.14,"LINESTRING (103.8905966 1.3940762, 103.8906043 1.394149)",,footway,,,,,,,,,,,
1742,5278671127,5278671091,0,546216218,False,7.191,"LINESTRING (103.8909519 1.3968365, 103.8909636 1.3969001)",,footway,,,,,,,,,,,
