,y,x,osmid,highway,ref,geometry
5177230474,1.3862545,103.8891239,5177230474,,,POINT (103.8891239 1.3862545)
5177230475,1.3861627,103.8893081,5177230475,,,POINT (103.8893081 1.3861627)
5177230477,1.386603,103.8873589,5177230477,,,POINT (103.8873589 1.386603)
5177230478,1.3852866,103.8904747,5177230478,,,POINT (103.8904747 1.3852866)
3789907087,1.4144547,103.9179786,3789907087,,,POINT (103.9179786 1.4144547)
5177230480,1.3868797,103.8875378,5177230480,,,POINT (103.8875378 1.3868797)
5177230481,1.3858998,103.8891402,5177230481,,,POINT (103.8891402 1.3858998)
5177230487,1.3870796,103.8890067,5177230487,,,POINT (103.8890067 1.3870796)
3600770200,1.4003058,103.8966835,3600770200,,,POINT (103.8966835 1.4003058)
3600770201,1.4004388,103.8962338,3600770201,traffic_signals,,POINT (103.8962338 1.4004388)
5177230488,1.3876732,103.8880507,5177230488,,,POINT (103.8880507 1.3876732)
3789907099,1.4116532,103.9208417,3789907099,,,POINT (103.9208417 1.4116532)
5177230489,1.3885291,103.8866599,5177230489,,,POINT (103.8866599 1.3885291)
3789907103,1.4111338,103.9202343,3789907103,,,POINT (103.9202343 1.4111338)
3058336928,1.4100658,103.9052272,3058336928,crossing,,POINT (103.9052272 1.4100658)
3058336929,1.4110855,103.9058167,3058336929,,,POINT (103.9058167 1.4110855)
5177279650,1.4026469,103.9038204,5177279650,,,POINT (103.9038204 1.4026469)
3789907104,1.4138822,103.9189201,3789907104,,,POINT (103.9189201 1.4138822)
5645788322,1.3888517,103.9098506,5645788322,,,POINT (103.9098506 1.3888517)
3789907110,1.4124178,103.918726,3789907110,,,POINT (103.918726 1.4124178)
3789907111,1.4085713,103.9225892,3789907111,,,POINT (103.9225892 1.4085713)
5177279656,1.4023108,103.9072297,5177279656,,,POINT (103.9072297 1.4023108)
5177279657,1.4024232,103.9073076,5177279657,,,POINT (103.9073076 1.4024232)
5177279658,1.4024687,103.9072441,5177279658,,,POINT (103.9072441 1.4024687)
5177279659,1.4023613,103.9071575,5177279659,,,POINT (103.9071575 1.4023613)
5177279660,1.4022089,103.907607,5177279660,,,POINT (103.907607 1.4022089)
5645788329,1.3890199,103.9099938,5645788329,,,POINT (103.9099938 1.3890199)
6532048046,1.3960727,103.9112497,6532048046,,,POINT (103.9112497 1.3960727)
6532048047,1.3963358,103.9109042,6532048047,,,POINT (103.9109042 1.3963358)
5645788331,1.3888827,103.9101317,5645788331,,,POINT (103.9101317 1.3888827)
5645788333,1.3887281,103.9100714,5645788333,,,POINT (103.9100714 1.3887281)
5256742059,1.4087668,103.9020851,5256742059,,,POINT (103.9020851 1.4087668)
5256742063,1.4086997,103.9019302,5256742063,,,POINT (103.9019302 1.4086997)
5177279668,1.4036741,103.9086397,5177279668,,,POINT (103.9086397 1.4036741)
5177279669,1.4028802,103.908157,5177279669,,,POINT (103.908157 1.4028802)
5177279670,1.4037785,103.9068835,5177279670,,,POINT (103.9068835 1.4037785)
5256742068,1.408532,103.901851,5256742068,,,POINT (103.901851 1.408532)
5177279672,1.4046234,103.9073154,5177279672,,,POINT (103.9073154 1.4046234)
5177279697,1.4047854,103.8991167,5177279697,,,POINT (103.8991167 1.4047854)
5177279707,1.4058036,103.8991109,5177279707,,,POINT (103.8991109 1.4058036)
4600849629,1.3848547,103.923822,4600849629,,,POINT (103.923822 1.3848547)
5177279709,1.406141,103.8992239,5177279709,,,POINT (103.8992239 1.406141)
5867650811,1.3983935,103.8966995,5867650811,,,POINT (103.8966995 1.3983935)
5867650812,1.397472,103.8966807,5867650812,,,POINT (103.8966807 1.397472)
4701889764,1.382487,103.8890709,4701889764,,,POINT (103.8890709 1.382487)
5218821351,1.417336,103.9061618,5218821351,,,POINT (103.9061618 1.417336)
369140970,1.3911714,103.8928504,369140970,,,POINT (103.8928504 1.3911714)
