,osmid,geometry,x,y,highway,ref
4427352391,4427352391,POINT (103.904112 1.404343299999996),103.904112,1.4043433,,
4427352394,4427352394,POINT (103.9035255 1.4045121),103.9035255,1.4045121,,
4427352397,4427352397,POINT (103.9035531 1.404635499999987),103.9035531,1.4046355,,
4427352399,4427352399,POINT (103.9040443 1.404688199999986),103.9040443,1.4046882,,
4427352400,4427352400,POINT (103.9039627 1.404720899999983),103.9039627,1.4047209,,
368904530,368904530,POINT (103.9106387 1.421229699999987),103.9106387,1.4212297,turning_circle,
3048540633,3048540633,POINT (103.9056421 1.406406399999996),103.9056421,1.4064064,,
3048540636,3048540636,POINT (103.9071923 1.405454199999997),103.9071923,1.4054542,,
1779763723,1779763723,POINT (103.9074082 1.386363499999996),103.9074082,1.3863635,,
4004973154,4004973154,POINT (103.8947249 1.40280429999999),103.8947249,1.4028043,,
4004973156,4004973156,POINT (103.8938179 1.402843199999994),103.8938179,1.4028432,,
4004973159,4004973159,POINT (103.8937913 1.402845600000008),103.8937913,1.4028456,,
4004973176,4004973176,POINT (103.8958745 1.402876399999998),103.8958745,1.4028764,,
4004973178,4004973178,POINT (103.8958918 1.403018499999998),103.8958918,1.4030185,,
4004973181,4004973181,POINT (103.8958309 1.402884399999992),103.8958309,1.4028844,,
4004973185,4004973185,POINT (103.8927822 1.403002099999985),103.8927822,1.4030021,,
4004973186,4004973186,POINT (103.8927232 1.403008899999981),103.8927232,1.4030089,,
6895384433,6895384433,POINT (103.9047087 1.392532599999993),103.9047087,1.3925326,,
4423617162,4423617162,POINT (103.9067974 1.418522999999994),103.9067974,1.418523,traffic_signals,
6249253559,6249253559,POINT (103.8959149 1.397663799999992),103.8959149,1.3976638,,
6680758295,6680758295,POINT (103.9151056 1.416283399999995),103.9151056,1.4162834,,
6680758296,6680758296,POINT (103.9151301 1.416201299999984),103.9151301,1.4162013,,
5256383205,5256383205,POINT (103.8913919 1.398868099999991),103.8913919,1.3988681,,
5256383206,5256383206,POINT (103.8913296 1.39882599999999),103.8913296,1.398826,,
5256383217,5256383217,POINT (103.8912531 1.398941399999993),103.8912531,1.3989414,,
6192761639,6192761639,POINT (103.9047782 1.387258799999999),103.9047782,1.3872588,,
