,u,v,key,osmid,lanes,highway,oneway,length,geometry,service,name,maxspeed,width,bridge,tunnel,access,ref,junction
1366,5177230429,5928411168,0,627983389,2,service,False,15.036,"LINESTRING (103.8934737 1.3893032, 103.8936 1.3892548)",,,,,,,,,
1367,5177230429,5928411168,1,628004150,,service,True,27.453,"LINESTRING (103.8934737 1.3893032, 103.8934913 1.3893607, 103.8936026 1.3893245, 103.8936 1.3892548)",,,,,,,,,
1368,5177230429,5256291410,0,"[533682304, 533682306, 627986245, 543740371, 628004152, 596752477]",2,service,False,311.589,"LINESTRING (103.8934737 1.3893032, 103.8932177 1.3893956, 103.8929522 1.3894908, 103.8929321 1.3895042, 103.8929153 1.3895478, 103.8929214 1.3895947, 103.8929549 1.3897147, 103.8929643 1.3897301, 103.8929757 1.3897388, 103.8930308 1.3897291, 103.8930679 1.3897416, 103.8931143 1.3897749, 103.8932234 1.3901395, 103.8933621 1.3904951, 103.8930823 1.3905929, 103.8930541 1.3906304, 103.8930474 1.3906518, 103.8931024 1.3908422, 103.8931252 1.390869, 103.8932365 1.390928, 103.8932875 1.390928, 103.8933995 1.3909012, 103.8935576 1.3908458)",,,,,,,,,
1369,5556118622,2274884735,0,"[476165171, 580386891, 166523756, 166523758]","['5', '3', '2']",secondary,True,348.45500000000004,"LINESTRING (103.9094824 1.4088675, 103.9086715 1.4074574, 103.9082413 1.4067101, 103.9081366 1.4065086, 103.9079439 1.4061377)",,Punggol Road,60,,yes,,,,
1370,5556118622,6054290949,0,596270000,,service,False,557.5319999999999,"LINESTRING (103.9094824 1.4088675, 103.9099467 1.4088171, 103.9102793 1.4086615, 103.9133638 1.4064092, 103.9136409 1.406177)",,,,,,,,,
1371,6578324592,135079181,0,"[630107333, 33176817, 479744508, 479744509, 479744510]",4,motorway,True,1283.08,"LINESTRING (103.9135644 1.3866089, 103.9120339 1.3884268, 103.9110405 1.3895717, 103.9104724 1.3902349, 103.909899 1.3908993, 103.9096577 1.3911781, 103.909613 1.3912297, 103.9092962 1.3915956, 103.9087831 1.3921882, 103.9080994 1.3929608, 103.9076185 1.3935277, 103.907078 1.3940278, 103.9069809 1.3941117, 103.9063109 1.3947142, 103.9060508 1.3949609, 103.9058425 1.3951674)",,Tampines Expressway,90,,,,,TPE,
1372,5177230456,5177230457,0,"[32853761, 533682307]",,service,True,72.293,"LINESTRING (103.8891883 1.3891416, 103.8896173 1.3889869, 103.8896406 1.3889719, 103.8896499 1.388958, 103.8896522 1.3889449, 103.8896482 1.3888359, 103.8896427 1.3888212, 103.8896345 1.3888128)",parking_aisle,,,,,,,,
1373,5177230456,5683991718,0,533682308,,service,False,13.619,"LINESTRING (103.8891883 1.3891416, 103.8890939 1.3891759, 103.8890721 1.3891724)",parking_aisle,,,,,,,,
1374,5177230457,5177230456,0,"[533682309, 533682310]",,service,True,75.636,"LINESTRING (103.8896345 1.3888128, 103.8896213 1.3888105, 103.889608 1.3888138, 103.8891554 1.3889907, 103.8891454 1.3889969, 103.8891408 1.3890032, 103.8891394 1.389012, 103.8891403 1.3890208, 103.8891883 1.3891416)",parking_aisle,,,,,,,,
1375,5177230457,6056460283,0,643620828,,service,False,173.786,"LINESTRING (103.8896345 1.3888128, 103.8900098 1.3886475, 103.8905033 1.3884933, 103.8906026 1.3885429, 103.8906375 1.3886099, 103.8907836 1.389035)",,,,,,,,,
1376,4433708155,5802675234,0,613183177,,service,True,59.855,"LINESTRING (103.8971028 1.3915398, 103.8976091 1.3913566)",driveway,Compassvale Bus Interchange,,,,,no,,
1377,4433708155,4433708161,0,446035344,,service,True,11.183,"LINESTRING (103.8971028 1.3915398, 103.8970557 1.3915575, 103.8970086 1.3915751)",driveway,Compassvale Bus Interchange,,,,,no,,
1378,4433708160,4433708155,0,613183177,,service,True,90.517,"LINESTRING (103.8975212 1.3910947, 103.8970151 1.3912783, 103.8971028 1.3915398)",driveway,Compassvale Bus Interchange,,,,,no,,
1379,4433708161,4433708162,0,446035345,,service,True,19.623,"LINESTRING (103.8970086 1.3915751, 103.8968422 1.391634)",driveway,,,,,,no,,
1380,4433708161,5802675234,0,"[446035344, 613183177]",,service,True,115.059,"LINESTRING (103.8970086 1.3915751, 103.8970554 1.3916981, 103.8970706 1.3917382, 103.8971457 1.3917865, 103.897591 1.3916256, 103.8976611 1.3915149, 103.8976091 1.3913566)",driveway,Compassvale Bus Interchange,,,,,no,,
1381,4433708162,1855321502,0,644831701,3,residential,True,36.439,"LINESTRING (103.8968422 1.391634, 103.8967322 1.3913253)",,Sengkang Square,50,,,,,,
